Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,03-May-2024,30-May-2024,CE,20500.00,2379.35,2379.35,1975.00,2065.75,2041.20,2065.75,1911.00,10808.86,1014.98,617825.00,-17025.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20550.00,-,-,-,2060.00,2060.00,2034.65,-,-,-,525.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20600.00,2272.00,2272.00,1965.00,1971.70,1975.00,1971.70,46.00,260.09,23.19,8425.00,-475.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20650.00,1840.00,1927.65,1840.00,1927.65,1927.65,1936.15,22.00,123.74,10.16,500.00,-450.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20700.00,2165.00,2165.00,1800.00,1875.55,1887.65,1875.55,61.00,344.95,29.28,6400.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20750.00,1796.30,1796.30,1796.30,1796.30,1796.30,1837.95,1.00,5.64,0.45,500.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20800.00,1938.00,1938.00,1690.00,1690.00,1690.00,1789.05,6.00,33.95,2.75,46050.00,-100.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20850.00,-,-,-,1867.90,1867.90,1740.25,-,-,-,400.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20900.00,-,-,-,1875.00,1875.00,1691.60,-,-,-,12975.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,20950.00,1780.00,1780.00,1750.00,1750.00,1750.00,1643.15,2.00,11.36,0.88,650.00,-50.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21000.00,1850.00,1886.55,1500.00,1581.20,1564.00,1581.20,2163.00,12252.07,896.32,511175.00,-14700.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21050.00,1563.35,1563.35,1501.10,1501.10,1501.10,1546.85,2.00,11.29,0.77,450.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21100.00,1765.25,1765.25,1430.00,1430.00,1430.00,1499.05,11.00,62.44,4.42,9975.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21150.00,-,-,-,1537.95,1537.95,1451.50,-,-,-,300.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21200.00,1635.10,1635.10,1324.45,1401.00,1360.65,1401.00,58.00,328.70,21.30,27525.00,-150.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21250.00,1564.50,1564.50,1527.90,1529.50,1529.50,1357.35,11.00,62.65,4.21,1000.00,-275.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21300.00,1578.80,1578.80,1244.00,1300.00,1300.00,1300.00,10.00,56.65,3.40,11975.00,75.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21350.00,-,-,-,1460.00,1460.00,1264.60,-,-,-,600.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21400.00,1477.85,1483.00,1130.10,1218.45,1218.45,1218.45,46.00,261.42,15.32,25400.00,-550.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21450.00,1140.00,1160.00,1140.00,1160.00,1160.00,1160.00,2.00,11.30,0.57,1200.00,25.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21500.00,1380.90,1407.30,1034.70,1119.20,1101.00,1119.20,5522.00,31288.97,1608.22,319225.00,-23225.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21550.00,-,-,-,1301.00,1301.00,1084.60,-,-,-,3650.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21600.00,1297.55,1300.00,970.00,1014.90,1014.90,1014.90,102.00,579.52,28.72,82325.00,250.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21650.00,1258.70,1258.70,931.85,931.85,931.85,997.90,4.00,22.83,1.18,7150.00,-75.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21700.00,1225.00,1225.00,870.80,944.75,937.90,944.75,354.00,2006.27,85.82,93575.00,750.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21750.00,901.05,906.00,855.00,855.00,855.00,913.85,22.00,124.58,4.96,7675.00,-425.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21800.00,1099.95,1125.00,790.00,860.55,848.35,860.55,1109.00,6294.67,250.62,254975.00,-2875.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21850.00,880.00,880.00,880.00,880.00,880.00,832.75,2.00,11.37,0.44,13225.00,-,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21900.00,1025.00,1035.80,710.00,772.60,763.50,772.60,587.00,3338.76,124.94,200450.00,2425.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,21950.00,777.00,777.00,690.60,736.00,736.00,754.90,26.00,147.40,4.72,10225.00,-175.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22000.00,947.00,948.60,630.05,695.20,690.00,695.20,26663.00,151669.01,5022.51,1151150.00,109625.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22050.00,719.15,719.15,603.90,659.15,664.20,659.15,132.00,749.32,21.67,25975.00,-1850.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22100.00,825.90,881.70,558.85,618.60,607.15,618.60,2760.00,15753.06,504.06,207225.00,-1400.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22150.00,809.95,817.00,529.00,580.30,575.25,580.30,284.00,1621.26,48.61,16900.00,-250.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22200.00,759.95,774.85,490.00,545.30,531.60,545.30,8219.00,46796.02,1180.57,498175.00,-5775.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22250.00,728.70,734.85,456.85,510.20,524.95,510.20,845.00,4814.02,113.71,14525.00,-3250.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22300.00,680.95,696.30,425.20,475.50,464.10,475.50,11749.00,66965.98,1465.30,344900.00,6200.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22350.00,640.00,653.90,394.55,443.75,432.10,443.75,2463.00,14044.35,282.34,33975.00,-575.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22400.00,583.00,617.50,363.70,411.45,403.00,411.45,37618.00,214626.82,3966.02,428925.00,84475.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22450.00,563.35,579.50,336.80,378.70,373.50,378.70,7021.00,40094.30,688.93,90800.00,32900.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22500.00,550.00,555.60,308.30,350.50,343.90,350.50,155971.00,892156.23,14819.36,2286800.00,228425.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22550.00,450.05,504.00,283.50,320.85,320.25,320.85,8014.00,45866.93,688.01,63225.00,19575.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22600.00,460.00,480.00,257.00,294.90,285.00,294.90,107957.00,619078.20,9121.15,1212700.00,-57800.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22650.00,400.05,435.00,234.60,270.45,264.05,270.45,10696.00,61395.87,829.77,103450.00,16150.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22700.00,380.00,406.40,212.60,244.95,237.15,244.95,161410.00,928110.21,12108.46,1249250.00,-20075.00,22475.85
